"","device_id","phone_brand","device_model"
"10726","-2833179855410359324","魅族","魅蓝Note 2"
"10728","-7886872648476484087","魅族","MX5"
"10729","-6238937574958215831","OPPO","R7s"
"10730","5896408079890756088","小米","红米"
"10731","9123578208462773473","斐讯","C730Lw"
"10736","-804882278118238290","努比亚","Z9 Max"
"10737","2421200571595727174","三星","Galaxy S2"
"10738","3593291294363439879","酷派","大神F1Plus"
"10739","-8199115853368718862","华为","麦芒4"
"10741","-4641607270990134510","小米","note顶配版"
"10742","5982238768201445317","vivo","Y17T"
"10745","4870550249823335195","vivo","X3T"
"10746","-3209436076656300924","魅族","魅蓝2"
"10748","3320404370593480560","魅族","MX4"
"10750","-8599383878807045594","华为","Mate 8"
"10751","6287691801534529275","华为","荣耀6"
"10752","-1705589393591453881","vivo","Y51"
"10753","4850625369950350903","小米","MI 2S"
"10754","-1626914241434769107","vivo","X5Pro"
"10756","-6855523020934828441","酷派","大神Note3"
"10757","6310754827017778830","小米","红米note"
"10760","1802397685530995667","OPPO","A51"
"10766","-7682061374093241977","三星","Galaxy S6 Edge+"
"10767","-6249973403094811149","魅族","魅蓝Note 2"
"10769","-1483522071287456659","三星","Galaxy Note 4"
"10770","-1087216240998270009","华为","麦芒3"
"10771","-8290049751573565686","小米","note顶配版"
"10772","4302956307279090661","小米","红米Note2"
"10774","1511136075194093269","三星","Galaxy Grand 2"
"10775","-4298458872759969062","vivo","X6 D"
"10779","-2659978419129676300","魅族","MX3"
"10780","-2634171391322875113","金立","S5.1"
"10783","1877775838486905855","vivo","Y13"
"10784","-6181378856994800600","酷派","大神Note3"
"10785","3903436052909769998","三星","Galaxy Win"
"10786","7288461008310100610","乐视","超级手机1s"
"10788","-8382303739433883859","魅族","魅蓝metal"
"10790","1427934937997164515","小米","MI 2S"
"10791","-6670231727779511924","联想","S890"
"10792","1564998137283205584","小米","MI 2S"
"10793","-4274187834430768408","小米","MI 3"
"10796","8981770763506942973","三星","Galaxy Note 2"
"10797","-1919970327849702094","三星","Galaxy A7"
"10800","5362414323913396709","小米","MI 4"
"10802","-7684047763947175021","vivo","X6"
"10803","1928870466821397636","华为","荣耀畅玩5X"
"10804","8331820466278266401","vivo","X5Max+"
"10805","7595914372984889709","vivo","Y17T"
"10806","-304920224449339435","华为","B199"
"10810","-1424735588384400394","三星","Galaxy Note 5"
"10811","-1058976689976607809","华为","G660-L075"
"10812","-5315263296697866076","vivo","X6 L"
"10813","6734829248962298534","华为","Ascend P7"
"10816","3322518315419940833","华为","荣耀畅玩4"
"10817","-4760783336195330962","三星","Galaxy Note 2"
"10818","-3377796193675656872","小米","MI 3"
"10820","-3142655367705601474","华为","荣耀3C"
"10821","-1613570835795443921","三星","Galaxy S6"
"11770","-8456286055802216248","三星","Galaxy Note 3"
"11771","-5680528600313102986","OPPO","A33"
"11774","-5884373836030891454","小米","MI 2S"
"11776","-5604847594354758002","OPPO","R7s"
"11778","2343579866000413303","华为","荣耀畅玩4C"
"11788","441068151364076046","小米","红米Note3"
"11792","-3766087376657242966","金立","V183"
"11794","2830724113915222201","魅族","MX4"
"11797","-6180508331895910539","小米","红米"
"11798","7005476777730782967","乐视","超级手机1s"
"11826","8774523953244308","小米","红米Note2"
"11916","901719057207290209","三星","Galaxy Grand DUOS"
"11918","-8150979147106106489","三星","Galaxy Tab 3 7.0"
"11922","2898210515309285576","三星","Galaxy Note 3"
"22586","-2503098472301313865","小米","红米note"
"22587","387904771848178909","魅族","MX3"
"22588","8973197758510677470","联想","A368t"
"22589","-5768075355765148094","努比亚","Z9 mini"
"22590","6579646464389596661","华为","P8 Lite"
"22591","-6271208612240211194","小米","MI 4"
"22592","4781989393190512097","HTC","One"
"22594","2794654647967662571","vivo","X6 D"
"22595","-17280806490387955","OPPO","N1 Mini"
"22596","7570310978764027772","OPPO","R2017"
"22597","-4806692189578332532","HTC","802w"
"22599","-3204910612963454775","中国移动","A1"
"22601","-9180330522697778980","华为","荣耀6 Plus"
"22602","-2015528097870762664","小米","红米Note2"
"22604","7230952670608362680","三星","I9118"
"22605","-6289140063501067264","三星","三星big foot"
"22606","2447736478478001359","小米","红米Note2"
"22609","404062046251032949","小米","红米Note3"
"22611","1412782850750573790","华为","荣耀畅玩5"
"22616","4301856296238192314","三星","Galaxy Note 3"
"22617","-303905813567710988","三星","Galaxy Note Edge"
"22618","-1542996295220567577","华为","Mate 7"
"22620","-1076064832252218291","小米","红米Note2"
"22621","374615208533646829","三星","三星big foot"
"22623","439861475547532675","三星","Galaxy S4"
"22624","-7690683540456031839","魅族","魅蓝metal"
"22626","1877775838486905855","vivo","Y13"
"22627","-8918590811203249338","vivo","X6 Plus"
"22628","7566850031220622843","三星","Galaxy Mega 2"
"22629","-6907265015238431773","OPPO","R7 Plus"
"22631","3888046152514759348","酷派","大神F1Plus"
"22632","7568632104990663274","小米","红米2"
"22633","2218943865544926317","华为","Mate 8"
"22634","7329184705789788133","乐视","超级手机1s"
"22635","-8237879889852702762","三星","Galaxy Win"
"22636","-5600411672557712002","vivo","X5Max+"
"22637","59662067188657521","三星","Galaxy Note 2"
"22640","-3766087376657242966","金立","V183"
"22642","-341101001494259523","华为","荣耀畅玩5X"
"22644","4583484865944095848","三星","2016版 Galaxy A9"
"22647","9129895015168860705","联想","A768t"
"22649","-1666194097797895898","三星","Galaxy S6 Edge"
"22651","4861461186174922250","三星","Galaxy S4"
"22653","-2526386806972133373","三星","Galaxy Grand Prime"
"22656","2866484947180243791","三星","Galaxy Note 2"
"22658","-2827401485760766914","vivo","Y923"
"22659","-221375520372280325","华为","C8816"
"22660","-4233361348052236438","华为","P8 Lite"
"22662","-7760375296048207374","OPPO","R7s"
"22664","1765832412855586400","三星","Galaxy Note 5"
"22740","4896722578126020429","vivo","Y927"
"22741","-4222926404776867052","华为","荣耀3X畅玩版"
